feature,mean_coef,mean_abs_coef,selected_in_runs,selection_rate
sleepdificulty_risk,5.466616407786896,5.466616407786896,5,1.0
health_risk,3.3935632709567494,3.3935632709567494,5,1.0
schoolpressure_risk,3.047767670640585,3.047767670640585,5,1.0
sex_risk,2.1343792260922627,2.1343792260922627,5,1.0
beenbullied_risk,1.7507931761991848,1.7507931761991848,5,1.0
likeschool_risk,1.6712727453352154,1.6712727453352154,5,1.0
talkfather_risk,1.6701737587885037,1.6701737587885037,5,1.0
talkmother_risk,1.524282762479927,1.524282762479927,5,1.0
bodyimage_risk,1.395437233364668,1.395437233364668,5,1.0
famtalk_risk,1.2449971052799904,1.2449971052799904,5,1.0
studaccept_risk,0.9822414128058377,0.9822414128058377,5,1.0
physact_risk,0.9106037085772695,0.9106037085772695,5,1.0
breakfast_risk,0.8529939012848583,0.8529939012848583,5,1.0
studhelpful_risk,0.8513376958802403,0.8513376958802403,5,1.0
famsup_risk,0.8010139682491051,0.8010139682491051,5,1.0
sex_x_sleep,0.7864601996296273,0.7864601996296273,5,1.0
teacheraccept_risk,0.7266358168627487,0.7266358168627487,5,1.0
friendcounton_risk,0.5839201229288318,0.5839201229288318,5,1.0
teachertrust_risk,0.42978767128847284,0.42978767128847284,5,1.0
famdec_risk,-0.325816984728677,0.325816984728677,5,1.0
drunk_risk,0.023712591430507683,0.028045485621987876,4,0.8
sleep_x_schoolpressure,-0.07784480183124506,0.07784480183124506,3,0.6
teachercare_risk,-0.025887548662545418,0.025887548662545418,3,0.6
bullying_x_famsup,-0.012649752365494385,0.012649752365494385,2,0.4
